time_bin,x_norm,y_norm,x_px,y_px,method,smooth_alpha
0,0.4528213,0.3562868,144,181,hybrid,0.7000
1,0.4408621,0.3104224,141,158,hybrid,0.7000
2,0.4350799,0.2980383,139,152,hybrid,0.7000
3,0.4267622,0.2943231,136,150,hybrid,0.7000
4,0.4242669,0.2932085,135,149,hybrid,0.7000
5,0.4235183,0.2914989,135,148,hybrid,0.7000
6,0.4167107,0.2923613,133,149,hybrid,0.7000
7,0.4146684,0.2912447,132,148,hybrid,0.7000
8,0.4228331,0.2840335,135,145,hybrid,0.7000
9,0.4099220,0.2887464,131,147,hybrid,0.7000
10,0.4016600,0.2887850,128,147,hybrid,0.7000
11,0.3969870,0.2901719,127,148,hybrid,0.7000
12,0.3999738,0.2905879,128,148,hybrid,0.7000
13,0.3877037,0.2907127,124,148,hybrid,0.7000
14,0.3928002,0.2893749,125,147,hybrid,0.7000
15,0.3899404,0.2889736,124,147,hybrid,0.7000
16,0.3824993,0.2888532,122,147,hybrid,0.7000
17,0.3714896,0.2874418,119,146,hybrid,0.7000
18,0.3616036,0.2870184,115,146,hybrid,0.7000
19,0.3520547,0.2868914,112,146,hybrid,0.7000
20,0.3579675,0.2868533,114,146,hybrid,0.7000
21,0.3531583,0.2937181,113,150,hybrid,0.7000
22,0.4952517,0.0881154,158,45,hybrid,0.7000
23,0.5310150,0.0264346,169,13,hybrid,0.7000
24,0.5359839,0.0079304,171,4,hybrid,0.7000
25,0.5179335,0.0023791,165,1,hybrid,0.7000
26,0.5060511,0.0007137,161,0,hybrid,0.7000
27,0.5045232,0.0002141,161,0,hybrid,0.7000
28,0.4928761,0.0000642,157,0,hybrid,0.7000
29,0.4989019,0.0000193,159,0,hybrid,0.7000
30,0.4694806,0.0000058,150,0,hybrid,0.7000
31,0.4221391,0.0000017,135,0,hybrid,0.7000
32,0.3831272,0.0000005,122,0,hybrid,0.7000
33,0.2751262,0.1980355,88,101,hybrid,0.7000
34,0.2405316,0.2574460,77,131,hybrid,0.7000
35,0.2257645,0.2752692,72,140,hybrid,0.7000
36,0.2301118,0.2833666,73,144,hybrid,0.7000
37,0.2204442,0.2857958,70,145,hybrid,0.7000
38,0.2307101,0.2823989,74,144,hybrid,0.7000
39,0.2490190,0.0847197,79,43,hybrid,0.7000
40,0.2979810,0.0254159,95,13,hybrid,0.7000
41,0.3370523,0.0076248,108,4,hybrid,0.7000
42,0.3994490,0.0022874,127,1,hybrid,0.7000
43,0.4262333,0.0006862,136,0,hybrid,0.7000
44,0.4280679,0.0002059,137,0,hybrid,0.7000
45,0.4433489,0.0000618,141,0,hybrid,0.7000
46,0.4375829,0.0000185,140,0,hybrid,0.7000
47,0.4779925,0.0000056,152,0,hybrid,0.7000
48,0.4946064,0.0000017,158,0,hybrid,0.7000
49,0.5237153,0.0000005,167,0,hybrid,0.7000
50,0.5584773,0.0000002,178,0,hybrid,0.7000
51,0.5709650,0.0000000,182,0,hybrid,0.7000
52,0.5908581,0.0000000,188,0,hybrid,0.7000
53,0.6066604,0.0000000,194,0,hybrid,0.7000
54,0.6288099,0.0000000,201,0,hybrid,0.7000
55,0.6418770,0.0000000,205,0,hybrid,0.7000
56,0.6474540,0.0000000,207,0,hybrid,0.7000
57,0.4838914,0.1994106,154,101,hybrid,0.7000
58,0.4567662,0.2592338,146,132,hybrid,0.7000
59,0.4354624,0.2868075,139,146,hybrid,0.7000
60,0.4488206,0.2854528,143,145,hybrid,0.7000
61,0.4594111,0.2850465,147,145,hybrid,0.7000
62,0.4669769,0.2849245,149,145,hybrid,0.7000
63,0.4626636,0.2862632,148,146,hybrid,0.7000
64,0.4701470,0.2866648,150,146,hybrid,0.7000
65,0.4811695,0.2867853,153,146,hybrid,0.7000
66,0.4910593,0.2854462,157,145,hybrid,0.7000
67,0.5006093,0.2864197,160,146,hybrid,0.7000
68,0.5078630,0.2867118,162,146,hybrid,0.7000
69,0.5144279,0.2867994,164,146,hybrid,0.7000
70,0.5229804,0.2882009,167,147,hybrid,0.7000
71,0.5277405,0.2858709,168,146,hybrid,0.7000
72,0.5357516,0.2837966,171,144,hybrid,0.7000
73,0.5381550,0.2804238,172,143,hybrid,0.7000
74,0.5432647,0.2794120,173,142,hybrid,0.7000
75,0.5491863,0.2763580,175,141,hybrid,0.7000
76,0.5509628,0.2754418,176,140,hybrid,0.7000
77,0.5536901,0.2737917,177,139,hybrid,0.7000
78,0.5567026,0.2705461,178,138,hybrid,0.7000
79,0.5619951,0.2668220,179,136,hybrid,0.7000
